id,facility_type,target_facility_name,road_name,address,latitude,hardness,organization_name,police_station_name,whether_install,count_install,base_date
,초등학교,구봉초등학교,대전광역시 서구 관저로75,대전광역시 서구 관저동 1133,36.299795,127.3300549,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,구봉초등학교,대전광역시 서구 관저로75,대전광역시 서구 관저동 1133,36.299795,127.3300549,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,구봉초등학교,대전광역시 서구 관저로75,대전광역시 서구 관저동 1133,36.299795,127.3300549,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,선암초등학교,대전광역시 서구 관저중로61,대전광역시 서구 관저동 1152,36.297492,127.3340399,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,초등학교,선암초등학교,대전광역시 서구 관저중로61,대전광역시 서구 관저동 1152,36.297492,127.3340399,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,초등학교,선암초등학교,대전광역시 서구 관저중로61,대전광역시 서구 관저동 1152,36.297492,127.3340399,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,초등학교,수미초등학교,대전광역시 서구 괴곡길42,대전광역시 서구 괴곡동 361-2,36.29528588,127.3615429,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,수미초등학교,대전광역시 서구 괴곡길42,대전광역시 서구 괴곡동 361-2,36.29528588,127.3615429,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,수미초등학교,대전광역시 서구 괴곡길42,대전광역시 서구 괴곡동 361-2,36.29528588,127.3615429,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,원앙초등학교,대전광역시 서구 관저북로 97,대전광역시 유성구 대정동 37-23,36.31153929,127.3371345,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,원앙초등학교,대전광역시 서구 관저북로 97,대전광역시 유성구 대정동 37-23,36.31153929,127.3371345,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,원앙초등학교,대전광역시 서구 관저북로 97,대전광역시 유성구 대정동 37-23,36.31153929,127.3371345,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,유천초등학교,대전광역시 서구 제비네6길 69,대전광역시 서구 도마동 149-1,36.315237,127.375594,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,유천초등학교,대전광역시 서구 제비네6길 69,대전광역시 서구 도마동 149-1,36.315237,127.375594,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,유천초등학교,대전광역시 서구 제비네6길 69,대전광역시 서구 도마동 149-1,36.315237,127.375594,대전광역시 서구청,서부경찰서,Y,2,2022-04-27
,초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,2022-04-27
,초등학교,느리울초등학교,대전광역시 서구 관저로196,대전광역시 서구 관저동 1396,36.29888811,127.3442527,대전광역시 서구청,서부경찰서,Y,3,2022-04-27
